SCHOOLJAAR 2013-2014 IN HET VO (peildatum 1 oktober 2013);;;;;;;SCHOOLJAAR 2014-2015 IN HET MBO (peildatum 1 oktober 2014);;;;;;;;;
BRIN NUMMER;VESTIGINGSNUMMER;GEMEENTENUMMER;GEMEENTENAAM;ONDERWIJSTYPE VO;DIPLOMA BEHAALD;PROFIEL;BRIN NUMMER;LEERWEG MBO;MBO SECTOR;KWALIFICATIE CODE;KWALIFICATIE NAAM;BRIN NUMMER KENNISCENTRUM;NAAM KENNISCENTRUM;GEMEENTENUMMER DEELNEMER;GEMEENTENAAM DEELNEMER;AANTAL DOORSTROMERS
00KV;0;777;ETTEN-LEUR;havo;geen diploma;nat/tech;25LX;BBL;techniek;95030;Autoschadehersteltechniek (Autoschadehersteller niveau 2);02QI;VOC;879;Zundert;1
00KV;0;777;ETTEN-LEUR;havo;geen diploma;nat/gezond;25LX;BOL;techniek;93430;Autotechniek (Technisch specialist personenauto's);02FZ;Innovam Groep;777;Etten-Leur;1
00KV;0;777;ETTEN-LEUR;havo;geen diploma;nat/gezond;25PN;BOL;zorg en welzijn;22197;Pedagogisch Werk;02QG;Calibris;193;Zwolle;1
00KV;0;777;ETTEN-LEUR;havo;geen diploma;ec/maat;21CY;BOL;landbouw;97590;Dierenartsassistent paraveterinair;25DC;Aequor;777;Etten-Leur;1
00KV;0;777;ETTEN-LEUR;havo;geen diploma;ec/maat;23JA;BOL;techniek;90413;Mediavormgever (Grafische vormgeving);02PT;Kenniscentrum GOC;777;Etten-Leur;1
00KV;0;777;ETTEN-LEUR;havo;geen diploma;ec/maat;23JA;BOL;techniek;95702;AV-specialist;02PT;Kenniscentrum GOC;777;Etten-Leur;1
00KV;0;777;ETTEN-LEUR;havo;geen diploma;ec/maat;25LV;BOL;economie;90303;Ondernemer horeca/bakkerij (Manager/ondernemer horeca);02PY;Kenwerk;777;Etten-Leur;1
00KV;0;777;ETTEN-LEUR;havo;geen diploma;ec/maat;25LV;BOL;economie;90500;Commercieel medewerker bank- en verzekeringswezen;00SP;ECABO;777;Etten-Leur;1
00KV;0;777;ETTEN-LEUR;havo;geen diploma;ec/maat;25LX;BOL;economie;90112;Commercieel medewerker (Commercieel medewerker binnendienst);00SE;Kenniscentrum Handel;777;Etten-Leur;1
00KV;0;777;ETTEN-LEUR;havo;geen diploma;ec/maat;25LX;BOL;economie;93494;Manager handel (Vestigingsmanager groothandel);00SE;Kenniscentrum Handel;777;Etten-Leur;1
00KV;0;777;ETTEN-LEUR;havo;geen diploma;ec/maat;25LX;BOL;economie;94891;Juridisch medewerker zakelijke dienstverlening;00SP;ECABO;1655;Halderberge;1
00KV;0;777;ETTEN-LEUR;havo;geen diploma;ec/maat;25LX;BOL;economie;95420;Kok (Zelfstandig werkend kok);02PY;Kenwerk;879;Zundert;1
00KV;0;777;ETTEN-LEUR;havo;geen diploma;ec/maat;25LX;BOL;zorg en welzijn;93500;Onderwijsassistent;02QG;Calibris;1655;Halderberge;1
00KV;0;777;ETTEN-LEUR;havo;geen diploma;ec/maat;25LX;BOL;zorg en welzijn;95294;Sport en bewegen (Sport- en bewegingscoördinator/ Trainer/coach);02QG;Calibris;777;Etten-Leur;1
00KV;0;777;ETTEN-LEUR;havo;geen diploma;cul/maat;25LX;BOL;techniek;90413;Mediavormgever (Grafische vormgeving);02PT;Kenniscentrum GOC;777;Etten-Leur;1
00KV;0;777;ETTEN-LEUR;havo;diploma;ec/maat;01OE;BOL;landbouw;97090;Manager natuur en recreatie;25DC;Aequor;1655;Halderberge;1
00KV;0;777;ETTEN-LEUR;havo;diploma;ec/maat;25LX;BBL;economie;90290;Ondernemer detailhandel;00SE;Kenniscentrum Handel;879;Zundert;1
00KV;0;777;ETTEN-LEUR;havo;diploma;nat/tech & nat/gezond;25LX;BOL;economie;94120;Leisure & hospitality (Leisure & hospitality host);02PY;Kenwerk;777;Etten-Leur;1
00KV;0;777;ETTEN-LEUR;havo;diploma;ec/maat & cul/maat;25LZ;BOL;techniek;90061;AV-productie (Allround medewerker AV-productie);02PT;Kenniscentrum GOC;777;Etten-Leur;1
00LJ;0;197;AALTEN;havo;geen diploma;nvt;25MA;BOL;onbekend;22087;Applicatie- en mediaontwikkeling;28DV;Combinatie kenniscentra;197;Aalten;1
00LJ;0;197;AALTEN;havo;geen diploma;nat/tech;24ZZ;BOL;techniek;94421;Middenkader engineering (Technicus);02PR;Kenteq;1509;Oude IJsselstreek;1
00LJ;0;197;AALTEN;havo;geen diploma;nat/gezond;24ZZ;BOL;zorg en welzijn;22171;Sport en bewegen;02QG;Calibris;197;Aalten;1
00LJ;0;197;AALTEN;havo;geen diploma;ec/maat;24ZZ;BOL;economie;22161;Juridisch medewerker;00SP;ECABO;197;Aalten;1
00LJ;0;197;AALTEN;havo;geen diploma;ec/maat;24ZZ;BOL;economie;22166;Medewerker marketing en communicatie;00SP;ECABO;197;Aalten;1
00LJ;0;197;AALTEN;havo;geen diploma;ec/maat;24ZZ;BOL;economie;95081;Veiligheid en vakmanschap (Aankomend medewerker grondoptreden);00SP;ECABO;197;Aalten;1
00LJ;0;197;AALTEN;havo;geen diploma;ec/maat;25LF;BBL;economie;90760;Kok;02PY;Kenwerk;294;Winterswijk;1
00LJ;0;197;AALTEN;havo;geen diploma;cul/maat;24ZZ;BOL;economie;94810;Toezicht en veiligheid (Handhaver toezicht en veiligheid);00SP;ECABO;197;Aalten;1
00LJ;0;197;AALTEN;havo;geen diploma;cul/maat;24ZZ;BOL;zorg en welzijn;93500;Onderwijsassistent;02QG;Calibris;197;Aalten;1
00LJ;0;197;AALTEN;havo;geen diploma;cul/maat;25LF;BOL;techniek;95715;Podium- en evenemententechnicus Licht;02PT;Kenniscentrum GOC;197;Aalten;1
00LJ;0;197;AALTEN;havo;geen diploma;cul/maat;25LF;BOL;zorg en welzijn;91210;Allround Grimeur;16QY;KOC Nederland;197;Aalten;1
00LJ;0;197;AALTEN;havo;geen diploma;nat/tech & nat/gezond;25GV;BOL;landbouw;97681;Teelt 4 (Manager teelt);25DC;Aequor;197;Aalten;1
00LJ;0;197;AALTEN;havo;diploma;nat/gezond;24ZZ;BOL;techniek;94421;Middenkader engineering (Technicus);02PR;Kenteq;197;Aalten;1
00LJ;0;197;AALTEN;havo;diploma;nat/gezond;24ZZ;BOL;zorg en welzijn;22195;Maatschappelijke Zorg;02QG;Calibris;197;Aalten;1
00LJ;0;197;AALTEN;havo;diploma;cul/maat;24ZZ;BOL;economie;90303;Ondernemer horeca/bakkerij (Manager/ondernemer horeca);02PY;Kenwerk;1509;Oude IJsselstreek;1
00LJ;0;197;AALTEN;havo;diploma;ec/maat & cul/maat;25GV;BOL;landbouw;97730;Recreatiedieren (Ondernemer/manager recreatiedieren);25DC;Aequor;203;Barneveld;1
