SCHOOLJAAR 2011-2012 IN HET VO (peildatum 1 oktober 2011);;;;;;;SCHOOLJAAR 2012-2013 IN HET MBO (peildatum 1 oktober 2012);;;;;;;;;
BRIN NUMMER;VESTIGINGSNUMMER;GEMEENTENUMMER;GEMEENTENAAM;ONDERWIJSTYPE VO;DIPLOMA BEHAALD;PROFIEL;BRIN NUMMER;LEERWEG MBO;MBO SECTOR;KWALIFICATIE NAAM;KWALIFICATIE CODE;BRIN NUMMER KENNISCENTRUM;NAAM KENNISCENTRUM;GEMEENTENUMMER DEELNEMER;GEMEENTENAAM DEELNEMER;AANTAL DOORSTROMERS
00CB;2;772;Eindhoven;havo;geen diploma;ec/maat;25MB;BOL;zorg en welzijn;Maatschappelijke Zorg (Persoonlijk begeleider specifieke doelgroepen);92662;02QG;Calibris;772;Eindhoven;1
00CB;2;772;Eindhoven;havo;geen diploma;cul/maat;25MB;BOL;zorg en welzijn;Pedagogisch Werk (Gespecialiseerd pedagogisch medewerker 4  kinderopvang);92632;02QG;Calibris;772;Eindhoven;1
00CB;2;772;Eindhoven;havo;geen diploma;cul/maat;25MB;BOL;zorg en welzijn;ovd24 Maatschappelijke Zorg 4;92660;02QG;Calibris;828;Oss;1
00CB;2;772;Eindhoven;havo;diploma;nat/gezond;25MB;BOL;techniek ;Middenkader engineering (Technicus);94421;02PR;Kenteq;820;Nuenen, Gerwen en Nederwetten;1
00CB;2;772;Eindhoven;havo;diploma;cul/maat;25LP;BOL;economie ;Manager handel (Filiaalmanager);93492;00SE;Kenniscentrum Handel;599;Rotterdam;1
00DI;2;22;Leek;havo;geen diploma;nvt/geen profiel;01NJ;BOL;combinatie;Productiedieren (Melkveehouder);97713;25DC;Aequor;1699;Noordenveld;1
00DI;2;22;Leek;havo;geen diploma;nat/gezond;25LU;BOL;economie ;Commercieel medewerker (Commercieel medewerker binnendienst);90112;00SE;Kenniscentrum Handel;22;Leek;1
00DI;2;22;Leek;havo;geen diploma;ec/maat;01NJ;BOL;landbouw ;Manager natuur en recreatie;97090;25DC;Aequor;22;Leek;1
00DI;2;22;Leek;havo;geen diploma;ec/maat;25LU;BOL;economie ;Commercieel medewerker (Commercieel medewerker binnendienst);90112;00SE;Kenniscentrum Handel;22;Leek;1
00DI;2;22;Leek;havo;geen diploma;ec/maat;25LU;BOL;combinatie;ICT- en mediabeheer (ICT-beheerder);95321;00SP;ECABO;22;Leek;2
