SCHOOLJAAR 2010-2011 IN HET VO (peildatum 1 oktober 2010);;;;;;;SCHOOLJAAR 2011-2012 IN HET MBO (peildatum 1 oktober 2011);;;;;;;;;
BRIN NUMMER;VESTIGINGSNUMMER;GEMEENTENUMMER;GEMEENTENAAM;ONDERWIJSTYPE VO;DIPLOMA BEHAALD;PROFIEL;BRIN NUMMER;LEERWEG MBO;MBO SECTOR;KWALIFICATIE NAAM;KWALIFICATIE CODE;BRIN NUMMER KENNISCENTRUM;NAAM KENNISCENTRUM;GEMEENTENUMMER DEELNEMER;GEMEENTENAAM DEELNEMER;AANTAL DOORSTROMERS
00IP;0;394;Haarlemmermeer;havo;geen diploma;nat/gezond;25MA;BOL;economie ;Secretariele beroepen;93230;00SP;ECABO;394;Haarlemmermeer;1
00IP;0;394;Haarlemmermeer;havo;geen diploma;ec/maat;25PX;BOL;economie ;Commercieel medewerker (Commercieel medewerker binnendienst ECABO);90111;00SP;ECABO;394;Haarlemmermeer;1
00IP;0;394;Haarlemmermeer;havo;geen diploma;ec/maat;25PX;BOL;economie ;Administrateur (Bedrijfsadministrateur);93212;00SP;ECABO;394;Haarlemmermeer;1
00IP;0;394;Haarlemmermeer;havo;geen diploma;ec/maat;25PX;BOL;zorg en welzijn;Sport en bewegen (Sport- en bewegingscoordinator / trainer-coach);91404;02QG;Calibris;394;Haarlemmermeer;1
00IP;0;394;Haarlemmermeer;havo;geen diploma;ec/maat;25PX;BOL;zorg en welzijn;Sociaal-maatschappelijk dienstverlener (Sociaal-maatschappelijk dienstverlener);92670;02QG;Calibris;394;Haarlemmermeer;1
00IP;0;394;Haarlemmermeer;havo;diploma;nat/tech;02PA;BOL;techniek ;Mediavormgever;90400;28DV;Combinatie kenniscentra;394;Haarlemmermeer;1
00IP;0;394;Haarlemmermeer;havo;diploma;nat/gezond;01OE;BOL;landbouw ;Dierenhouder (Manager dierverzorging);97053;25DC;Aequor;394;Haarlemmermeer;1
00IP;0;394;Haarlemmermeer;havo;diploma;nat/gezond;25PZ;BOL;economie ;Ondernemer horeca/bakkerij (Manager/ondernemer horeca);90303;02PY;Kenwerk;394;Haarlemmermeer;1
00JR;0;606;Schiedam;havo;geen diploma;nvt/geen profiel;00GT;BOL;economie ;Administrateur (Boekhoudkundig medewerker);93200;00SP;ECABO;606;Schiedam;1
00JR;0;606;Schiedam;havo;geen diploma;nvt/geen profiel;25LP;BBL;techniek ;Metaalbewerken (Metaalbewerker);94301;02PR;Kenteq;606;Schiedam;1
00JR;0;606;Schiedam;havo;geen diploma;nat/gezond;17WH;BBL;economie ;Fastservice (Medewerker fastservice);94190;02PY;Kenwerk;606;Schiedam;1
00JR;0;606;Schiedam;havo;geen diploma;nat/gezond;23JA;BOL;techniek ;DTP-er (Allround DTP-er KC GOC);90191;02PT;Kenniscentrum GOC;606;Schiedam;1
