"Investeringen in vaste activa naar type en regio; nationale rekeningen"
"";"Onderwerpen";"Investeringen naar type van activa";"Investeringen naar type van activa";"Investeringen naar type van activa";"Investeringen naar type van activa";"Investeringen naar type van activa";"Investeringen naar type van activa";"Investeringen naar type van activa";"Investeringen naar type van activa";"Investeringen naar type van activa";"Investeringen naar type van activa"
"";"Onderwerpen";"Woningen";"Bedrijfsgebouwen";"Grond-weg- en waterbouwkundige werken";"Vervoermiddelen";"Machines en installaties";"In cultuur gebrachte activa";"Overdrachtskosten op grond";"Computerprogrammatuur en databanken";"Onderzoek en ontwikkeling";"Overige investeringen"
"Regio's";"Perioden";"mln euro";"mln euro";"mln euro";"mln euro";"mln euro";"mln euro";"mln euro";"mln euro";"mln euro";"mln euro"
"Noord-Overijssel (CR)";"2013*";"520";"419";"295";"127";"243";"7";"23";"291";"187";"191"
"Zuidwest-Overijssel (CR)";"1995";"96";"50";"36";"73";"89";"6";"6";"29";"38";"50"
"Zuidwest-Overijssel (CR)";"2010";"148";"88";"43";"67";"78";"2";"12";"106";"77";"73"
"Zuidwest-Overijssel (CR)";"2011";"187";"131";"71";"78";"87";"2";"13";"103";"83";"71"
"Zuidwest-Overijssel (CR)";"2012";"177";"129";"48";"55";"86";"2";"12";"105";"80";"95"
"Zuidwest-Overijssel (CR)";"2013*";"239";"156";"39";"73";"92";"3";"11";"104";"80";"70"
"Twente (CR)";"1995";"613";"244";"209";"140";"389";"12";"32";"124";"227";"209"
"Twente (CR)";"2010";"921";"379";"487";"181";"403";"6";"43";"410";"343";"296"
"Twente (CR)";"2011";"942";"531";"522";"292";"751";"5";"48";"415";"368";"375"
"Twente (CR)";"2012";"633";"438";"507";"215";"571";"6";"45";"433";"369";"304"
"Twente (CR)";"2013*";"475";"419";"450";"235";"385";"8";"38";"409";"372";"299"
"Veluwe (CR)";"1995";"815";"319";"241";"181";"332";"9";"44";"146";"216";"252"
"Veluwe (CR)";"2010";"1293";"915";"535";"215";"387";"5";"58";"560";"453";"358"
"Veluwe (CR)";"2011";"1275";"1232";"582";"246";"461";"4";"59";"564";"482";"424"
"Veluwe (CR)";"2012";"1092";"951";"623";"277";"517";"5";"58";"590";"480";"380"
"Veluwe (CR)";"2013*";"986";"687";"509";"251";"450";"6";"50";"585";"487";"376"
"Achterhoek (CR)";"1995";"373";"447";"73";"87";"250";"17";"12";"66";"112";"119"
"Achterhoek (CR)";"2010";"768";"432";"210";"88";"220";"8";"23";"217";"149";"164"
"Achterhoek (CR)";"2011";"645";"568";"167";"124";"250";"6";"24";"218";"161";"181"
"Achterhoek (CR)";"2012";"537";"512";"264";"220";"258";"7";"22";"220";"167";"172"
"Achterhoek (CR)";"2013*";"437";"459";"182";"95";"285";"9";"19";"214";"167";"169"
"Arnhem/Nijmegen (CR)";"1995";"800";"402";"376";"154";"356";"14";"36";"146";"329";"229"
"Arnhem/Nijmegen (CR)";"2010";"1296";"786";"363";"169";"348";"12";"61";"577";"440";"394"
"Arnhem/Nijmegen (CR)";"2011";"1270";"1126";"1071";"196";"372";"9";"63";"582";"466";"460"
"Arnhem/Nijmegen (CR)";"2012";"1171";"750";"554";"181";"398";"11";"59";"605";"465";"383"
"Arnhem/Nijmegen (CR)";"2013*";"1026";"622";"868";"197";"395";"14";"50";"592";"470";"380"
"Zuidwest-Gelderland (CR)";"1995";"221";"122";"129";"129";"119";"51";"9";"47";"59";"78"
"Zuidwest-Gelderland (CR)";"2010";"441";"212";"507";"100";"201";"34";"20";"163";"99";"104"
"Zuidwest-Gelderland (CR)";"2011";"481";"235";"355";"121";"191";"27";"22";"162";"95";"139"
"Zuidwest-Gelderland (CR)";"2012";"463";"274";"283";"86";"154";"34";"21";"165";"100";"109"
"Zuidwest-Gelderland (CR)";"2013*";"432";"263";"300";"83";"155";"45";"19";"164";"100";"107"
"Utrecht (CR)";"1995";"1204";"838";"762";"766";"540";"29";"92";"332";"440";"591"
"Utrecht (CR)";"2010";"2297";"1676";"1997";"1345";"759";"20";"158";"1506";"833";"913"
"Utrecht (CR)";"2011";"2438";"2106";"1522";"1203";"1118";"15";"159";"1490";"841";"1063"
"Utrecht (CR)";"2012";"1641";"1444";"1520";"1379";"873";"19";"149";"1550";"849";"958"
"Utrecht (CR)";"2013*";"1470";"1665";"1766";"1168";"851";"25";"132";"1544";"858";"1187"
"Kop van Noord-Holland (CR)";"1995";"346";"219";"164";"106";"168";"14";"18";"63";"79";"117"
"Kop van Noord-Holland (CR)";"2010";"521";"341";"327";"104";"223";"9";"28";"210";"161";"190"
"Kop van Noord-Holland (CR)";"2011";"482";"371";"459";"129";"276";"7";"29";"209";"165";"189"
